"","period","month","Month","day","year","plot","stake","treatment","species","sex","reprod","vagina","nipples","lactation","pregnant","testes","hfl","wgt","tag"
"4114",259,"11","Nov",7,1999,11,67,"control","DM","M",NA,NA,NA,NA,NA,"S",36,55,"561"
"4115",260,"12","Dec",6,1999,9,34,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",35,34,"182"
"4116",260,"12","Dec",6,1999,9,37,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",35,50,"443"
"4117",260,"12","Dec",6,1999,14,44,"control","DM","M",NA,NA,NA,NA,NA,"S",36,42,"575"
"4118",261,"1","Jan",8,2000,12,55,"control","DM","M",NA,NA,NA,NA,NA,"S",36,60,"572"
"4119",261,"1","Jan",8,2000,17,16,"control","DM","M",NA,NA,NA,NA,NA,"S",37,52,"553"
"4120",261,"1","Jan",8,2000,22,17,"control","DM","M",NA,NA,NA,NA,NA,"R",38,56,"180"
"4121",261,"1","Jan",10,2000,11,57,"control","DM","M",NA,NA,NA,NA,NA,"R",35,43,"141"
"4122",261,"1","Jan",10,2000,11,47,"control","DM","M",NA,NA,NA,NA,NA,"M",33,54,"47"
"4123",261,"1","Jan",10,2000,9,73,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",35,52,"115"
"4124",261,"1","Jan",10,2000,9,76,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",36,43,"530"
"4125",261,"1","Jan",10,2000,14,16,"control","DM","M",NA,NA,NA,NA,NA,"R",34,41,"156"
"4126",261,"1","Jan",10,2000,14,15,"control","DM","M",NA,NA,NA,NA,NA,"M",35,37,"137"
"4127",262,"2","Feb",6,2000,9,71,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",34,45,"530"
"4128",262,"2","Feb",6,2000,14,56,"control","DM","M",NA,NA,NA,NA,NA,"S",34,53,"156"
"4129",263,"3","Mar",5,2000,11,37,"control","DM","M",NA,NA,NA,NA,NA,"R",37,50,"127"
"4130",263,"3","Mar",5,2000,14,14,"control","DM","M",NA,NA,NA,NA,NA,"R",36,49,"414"
"4131",263,"3","Mar",5,2000,14,65,"control","DM","M",NA,NA,NA,NA,NA,"S",37,53,"151"
"4132",263,"3","Mar",5,2000,14,75,"control","DM","M",NA,NA,NA,NA,NA,"S",36,47,"8003DM"
"4133",264,"4","Apr",30,2000,9,72,"spectabs","DM","M",NA,NA,NA,NA,NA,"R",34,50,"4004DM"
"4134",264,"4","Apr",30,2000,11,35,"control","DM","M",NA,NA,NA,NA,NA,"R",37,49,"127"
"4135",264,"4","Apr",30,2000,14,74,"control","DM","M",NA,NA,NA,NA,NA,"S",35,40,"0103DM"
"4136",265,"6","Jun",4,2000,4,24,"control","DM","M",NA,NA,NA,NA,NA,"S",36,46,"8003DM"
"4137",265,"6","Jun",4,2000,9,77,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",36,46,"6100DM"
"4138",266,"7","Jul",2,2000,4,16,"control","DM","M",NA,NA,NA,NA,NA,"S",36,39,"620"
"4139",266,"7","Jul",2,2000,11,75,"control","DM","M",NA,NA,NA,NA,NA,"S",35,43,"601"
"4140",266,"7","Jul",2,2000,9,77,"spectabs","DM","M",NA,NA,NA,NA,NA,"S",35,48,"604"
"4141",266,"7","Jul",2,2000,14,73,"control","DM","M",NA,NA,NA,NA,NA,"R",37,45,"622"
"4142",266,"7","Jul",2,2000,14,53,"control","DM","M",NA,NA,NA,NA,NA,"R",36,47,NA
"4143",267,"7","Jul",23,2000,4,47,"control","DM","M",NA,NA,NA,NA,NA,"M",37,40,"4D1A22"
"4144",268,"8","Aug",25,2000,17,53,"control","DM","M",NA,NA,NA,NA,NA,"S",37,47,"159"
"4145",268,"8","Aug",26,2000,9,21,"spectabs","DM","M",NA,NA,NA,NA,NA,"M",36,39,"51064D"
"4146",269,"9","Sept",30,2000,17,25,"control","DM","M",NA,NA,NA,NA,NA,"R",35,43,"159"
"4147",269,"9","Sept",30,2000,22,12,"control","DM","M",NA,NA,NA,NA,NA,"R",35,52,"180"
"4148",270,"11","Nov",25,2000,12,55,"control","DM","M",NA,NA,NA,NA,NA,"S",36,44,"625"
"4149",270,"11","Nov",26,2000,4,54,"control","DM","M",NA,NA,NA,NA,NA,"M",37,43,"094D2C"
"4150",270,"11","Nov",26,2000,14,46,"control","DM","M",NA,NA,NA,NA,NA,"R",34,47,"0F5240"
"4151",271,"12","Dec",22,2000,17,42,"control","DM","M",NA,NA,NA,NA,NA,"M",36,50,"547"
"4152",271,"12","Dec",22,2000,17,64,"control","DM","M",NA,NA,NA,NA,NA,"M",36,48,"159"
